frame_index,flame2_rgb_path,flame2_thermal_path,matched_split
116,raw\flame2\254p RGB Images\254p RGB Frame (116).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (116).jpg,val
167,raw\flame2\254p RGB Images\254p RGB Frame (167).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (167).jpg,val
181,raw\flame2\254p RGB Images\254p RGB Frame (181).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (181).jpg,val
205,raw\flame2\254p RGB Images\254p RGB Frame (205).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (205).jpg,val
246,raw\flame2\254p RGB Images\254p RGB Frame (246).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (246).jpg,val
378,raw\flame2\254p RGB Images\254p RGB Frame (378).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (378).jpg,test
384,raw\flame2\254p RGB Images\254p RGB Frame (384).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (384).jpg,test
763,raw\flame2\254p RGB Images\254p RGB Frame (763).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (763).jpg,test
792,raw\flame2\254p RGB Images\254p RGB Frame (792).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (792).jpg,test
865,raw\flame2\254p RGB Images\254p RGB Frame (865).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (865).jpg,test
885,raw\flame2\254p RGB Images\254p RGB Frame (885).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (885).jpg,test
938,raw\flame2\254p RGB Images\254p RGB Frame (938).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (938).jpg,test
955,raw\flame2\254p RGB Images\254p RGB Frame (955).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (955).jpg,test
1010,raw\flame2\254p RGB Images\254p RGB Frame (1010).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (1010).jpg,test
1037,raw\flame2\254p RGB Images\254p RGB Frame (1037).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (1037).jpg,test
1181,raw\flame2\254p RGB Images\254p RGB Frame (1181).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (1181).jpg,test
1226,raw\flame2\254p RGB Images\254p RGB Frame (1226).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (1226).jpg,test
1234,raw\flame2\254p RGB Images\254p RGB Frame (1234).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (1234).jpg,test
1270,raw\flame2\254p RGB Images\254p RGB Frame (1270).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (1270).jpg,test
1303,raw\flame2\254p RGB Images\254p RGB Frame (1303).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (1303).jpg,test
1322,raw\flame2\254p RGB Images\254p RGB Frame (1322).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (1322).jpg,val
1434,raw\flame2\254p RGB Images\254p RGB Frame (1434).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (1434).jpg,val
1477,raw\flame2\254p RGB Images\254p RGB Frame (1477).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (1477).jpg,val
1500,raw\flame2\254p RGB Images\254p RGB Frame (1500).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (1500).jpg,val
1501,raw\flame2\254p RGB Images\254p RGB Frame (1501).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (1501).jpg,val
1546,raw\flame2\254p RGB Images\254p RGB Frame (1546).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (1546).jpg,test
1614,raw\flame2\254p RGB Images\254p RGB Frame (1614).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (1614).jpg,test
1721,raw\flame2\254p RGB Images\254p RGB Frame (1721).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (1721).jpg,test
1937,raw\flame2\254p RGB Images\254p RGB Frame (1937).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (1937).jpg,test
1949,raw\flame2\254p RGB Images\254p RGB Frame (1949).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (1949).jpg,test
1988,raw\flame2\254p RGB Images\254p RGB Frame (1988).jpg,raw\flame2\254p Thermal Images\254p Thermal Frame (1988).jpg,test
