id,frame_index,modality,path,split
rffnet_train_rgb_4267,4267,rgb,raw\rffnet\data\FLAME2\images\img_rgb_(4267).png,train
rffnet_train_ir_4267,4267,ir,raw\rffnet\data\FLAME2\images\img_ir_(4267).png,train
rffnet_train_rgb_4281,4281,rgb,raw\rffnet\data\FLAME2\images\img_rgb_(4281).png,train
rffnet_train_ir_4281,4281,ir,raw\rffnet\data\FLAME2\images\img_ir_(4281).png,train
rffnet_train_rgb_4297,4297,rgb,raw\rffnet\data\FLAME2\images\img_rgb_(4297).png,train
rffnet_train_ir_4297,4297,ir,raw\rffnet\data\FLAME2\images\img_ir_(4297).png,train
rffnet_train_rgb_4350,4350,rgb,raw\rffnet\data\FLAME2\images\img_rgb_(4350).png,train
rffnet_train_ir_4350,4350,ir,raw\rffnet\data\FLAME2\images\img_ir_(4350).png,train
rffnet_train_rgb_4402,4402,rgb,raw\rffnet\data\FLAME2\images\img_rgb_(4402).png,train
rffnet_train_ir_4402,4402,ir,raw\rffnet\data\FLAME2\images\img_ir_(4402).png,train
rffnet_train_rgb_4421,4421,rgb,raw\rffnet\data\FLAME2\images\img_rgb_(4421).png,train
rffnet_train_ir_4421,4421,ir,raw\rffnet\data\FLAME2\images\img_ir_(4421).png,train
rffnet_train_rgb_4432,4432,rgb,raw\rffnet\data\FLAME2\images\img_rgb_(4432).png,train
rffnet_train_ir_4432,4432,ir,raw\rffnet\data\FLAME2\images\img_ir_(4432).png,train
rffnet_train_rgb_4767,4767,rgb,raw\rffnet\data\FLAME2\images\img_rgb_(4767).png,train
rffnet_train_ir_4767,4767,ir,raw\rffnet\data\FLAME2\images\img_ir_(4767).png,train
rffnet_train_rgb_4800,4800,rgb,raw\rffnet\data\FLAME2\images\img_rgb_(4800).png,train
rffnet_train_ir_4800,4800,ir,raw\rffnet\data\FLAME2\images\img_ir_(4800).png,train
rffnet_train_rgb_4846,4846,rgb,raw\rffnet\data\FLAME2\images\img_rgb_(4846).png,train
rffnet_train_ir_4846,4846,ir,raw\rffnet\data\FLAME2\images\img_ir_(4846).png,train
rffnet_train_rgb_4897,4897,rgb,raw\rffnet\data\FLAME2\images\img_rgb_(4897).png,train
rffnet_train_ir_4897,4897,ir,raw\rffnet\data\FLAME2\images\img_ir_(4897).png,train
rffnet_train_rgb_4947,4947,rgb,raw\rffnet\data\FLAME2\images\img_rgb_(4947).png,train
rffnet_train_ir_4947,4947,ir,raw\rffnet\data\FLAME2\images\img_ir_(4947).png,train
rffnet_train_rgb_5269,5269,rgb,raw\rffnet\data\FLAME2\images\img_rgb_(5269).png,train
rffnet_train_ir_5269,5269,ir,raw\rffnet\data\FLAME2\images\img_ir_(5269).png,train
rffnet_train_rgb_5271,5271,rgb,raw\rffnet\data\FLAME2\images\img_rgb_(5271).png,train
rffnet_train_ir_5271,5271,ir,raw\rffnet\data\FLAME2\images\img_ir_(5271).png,train
rffnet_train_rgb_5375,5375,rgb,raw\rffnet\data\FLAME2\images\img_rgb_(5375).png,train
rffnet_train_ir_5375,5375,ir,raw\rffnet\data\FLAME2\images\img_ir_(5375).png,train
rffnet_train_rgb_5426,5426,rgb,raw\rffnet\data\FLAME2\images\img_rgb_(5426).png,train
rffnet_train_ir_5426,5426,ir,raw\rffnet\data\FLAME2\images\img_ir_(5426).png,train
rffnet_train_rgb_5496,5496,rgb,raw\rffnet\data\FLAME2\images\img_rgb_(5496).png,train
rffnet_train_ir_5496,5496,ir,raw\rffnet\data\FLAME2\images\img_ir_(5496).png,train
rffnet_train_rgb_5761,5761,rgb,raw\rffnet\data\FLAME2\images\img_rgb_(5761).png,train
rffnet_train_ir_5761,5761,ir,raw\rffnet\data\FLAME2\images\img_ir_(5761).png,train
rffnet_train_rgb_5785,5785,rgb,raw\rffnet\data\FLAME2\images\img_rgb_(5785).png,train
rffnet_train_ir_5785,5785,ir,raw\rffnet\data\FLAME2\images\img_ir_(5785).png,train
rffnet_train_rgb_5834,5834,rgb,raw\rffnet\data\FLAME2\images\img_rgb_(5834).png,train
rffnet_train_ir_5834,5834,ir,raw\rffnet\data\FLAME2\images\img_ir_(5834).png,train
rffnet_train_rgb_5854,5854,rgb,raw\rffnet\data\FLAME2\images\img_rgb_(5854).png,train
rffnet_train_ir_5854,5854,ir,raw\rffnet\data\FLAME2\images\img_ir_(5854).png,train
rffnet_train_rgb_5951,5951,rgb,raw\rffnet\data\FLAME2\images\img_rgb_(5951).png,train
rffnet_train_ir_5951,5951,ir,raw\rffnet\data\FLAME2\images\img_ir_(5951).png,train
rffnet_train_rgb_5998,5998,rgb,raw\rffnet\data\FLAME2\images\img_rgb_(5998).png,train
rffnet_train_ir_5998,5998,ir,raw\rffnet\data\FLAME2\images\img_ir_(5998).png,train
rffnet_train_rgb_6014,6014,rgb,raw\rffnet\data\FLAME2\images\img_rgb_(6014).png,train
rffnet_train_ir_6014,6014,ir,raw\rffnet\data\FLAME2\images\img_ir_(6014).png,train
rffnet_train_rgb_6025,6025,rgb,raw\rffnet\data\FLAME2\images\img_rgb_(6025).png,train
rffnet_train_ir_6025,6025,ir,raw\rffnet\data\FLAME2\images\img_ir_(6025).png,train
rffnet_train_rgb_6084,6084,rgb,raw\rffnet\data\FLAME2\images\img_rgb_(6084).png,train
rffnet_train_ir_6084,6084,ir,raw\rffnet\data\FLAME2\images\img_ir_(6084).png,train
rffnet_train_rgb_6090,6090,rgb,raw\rffnet\data\FLAME2\images\img_rgb_(6090).png,train
rffnet_train_ir_6090,6090,ir,raw\rffnet\data\FLAME2\images\img_ir_(6090).png,train
rffnet_train_rgb_6133,6133,rgb,raw\rffnet\data\FLAME2\images\img_rgb_(6133).png,train
rffnet_train_ir_6133,6133,ir,raw\rffnet\data\FLAME2\images\img_ir_(6133).png,train
rffnet_train_rgb_6401,6401,rgb,raw\rffnet\data\FLAME2\images\img_rgb_(6401).png,train
rffnet_train_ir_6401,6401,ir,raw\rffnet\data\FLAME2\images\img_ir_(6401).png,train
rffnet_train_rgb_6414,6414,rgb,raw\rffnet\data\FLAME2\images\img_rgb_(6414).png,train
rffnet_train_ir_6414,6414,ir,raw\rffnet\data\FLAME2\images\img_ir_(6414).png,train
rffnet_train_rgb_6527,6527,rgb,raw\rffnet\data\FLAME2\images\img_rgb_(6527).png,train
rffnet_train_ir_6527,6527,ir,raw\rffnet\data\FLAME2\images\img_ir_(6527).png,train
rffnet_train_rgb_6599,6599,rgb,raw\rffnet\data\FLAME2\images\img_rgb_(6599).png,train
