encoder,p,seed,epoch_terpilih,fusi,rgb_saja,termal_saja,sumber
BARU,0.1,42,1,0.9833,0.9833,0.9208,log RUN 2B
BARU,0.1,43,8,1.0,0.75,0.9458,log RUN 2B
BARU,0.1,44,11,1.0,0.9833,0.8542,log RUN 2B
BARU,0.2,42,20,1.0,0.9833,0.5125,log RUN 2B
BARU,0.2,43,9,1.0,0.9833,0.9167,log RUN 2B
BARU,0.2,44,20,1.0,1.0,0.4833,log RUN 2B
BARU,0.3,42,8,1.0,0.925,0.975,log RUN 2B
BARU,0.3,43,12,0.9958,0.9833,0.6417,log RUN 2B
BARU,0.3,44,9,0.9917,0.9833,0.8917,log RUN 2B
LAMA,0.2,42,12,0.9833,0.9833,0.9625,log RUN 2B
LAMA,0.2,43,17,1.0,0.9833,0.5583,log RUN 2B
LAMA,0.2,44,7,1.0,0.9833,0.95,log RUN 2B
